alarm_id,timestamp,cleared_timestamp,network_element_id,technology,region,alarm_type,alarm_code,severity,severity_rank,status,description,duration_minutes,is_active,hour,dayofweek,is_weekend,day_type,shift,alarm_category,duration_band,inter_alarm_gap_min,site_mtbf_hrs,site_mttr_min
ALM01012,2025-01-08 17:00:00,2025-01-08 18:28:00,SITE_A,4G,South,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,88.0,False,17,2,False,weekday,afternoon,Radio,long,1950.0,24.59,46.2
ALM01010,2025-01-08 17:00:00,2025-01-08 18:16:00,SITE_A,4G,South,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,76.0,False,17,2,False,weekday,afternoon,Transport,long,0.0,24.59,46.2
ALM01011,2025-01-08 17:20:00,2025-01-08 17:54:00,SITE_A,4G,South,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,34.0,False,17,2,False,weekday,afternoon,Radio,medium,20.0,24.59,46.2
ALM01013,2025-01-10 18:01:00,2025-01-10 18:49:00,SITE_A,4G,South,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,48.0,False,18,4,False,weekday,afternoon,Transport,medium,2921.0,24.59,46.2
ALM01015,2025-01-10 18:10:00,2025-01-10 18:56:00,SITE_A,4G,South,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,46.0,False,18,4,False,weekday,afternoon,Hardware,medium,9.0,24.59,46.2
ALM01014,2025-01-10 18:16:00,2025-01-10 18:50:00,SITE_A,4G,South,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,34.0,False,18,4,False,weekday,afternoon,Radio,medium,6.0,24.59,46.2
ALM01019,2025-01-18 05:22:00,2025-01-18 05:44:00,SITE_A,4G,South,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,22.0,False,5,5,True,weekend,night,Radio,medium,10746.0,24.59,46.2
ALM01016,2025-01-18 05:29:00,2025-01-18 05:55:00,SITE_A,4G,South,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,26.0,False,5,5,True,weekend,night,Radio,medium,7.0,24.59,46.2
ALM01017,2025-01-18 05:29:00,2025-01-18 06:56:00,SITE_A,4G,South,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,87.0,False,5,5,True,weekend,night,Transport,long,0.0,24.59,46.2
ALM01018,2025-01-18 05:34:00,2025-01-18 06:35:00,SITE_A,4G,South,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,61.0,False,5,5,True,weekend,night,Radio,long,5.0,24.59,46.2
ALM01023,2025-01-25 04:32:00,2025-01-25 04:57:00,SITE_A,4G,South,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,25.0,False,4,5,True,weekend,night,Transport,medium,10018.0,24.59,46.2
ALM01021,2025-01-25 04:34:00,2025-01-25 04:40:00,SITE_A,4G,South,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,6.0,False,4,5,True,weekend,night,Transport,short,2.0,24.59,46.2
ALM01022,2025-01-25 04:41:00,2025-01-25 04:59:00,SITE_A,4G,South,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,18.0,False,4,5,True,weekend,night,Radio,medium,7.0,24.59,46.2
ALM01020,2025-01-25 04:47:00,2025-01-25 05:22:00,SITE_A,4G,South,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,35.0,False,4,5,True,weekend,night,Radio,medium,6.0,24.59,46.2
ALM01024,2025-01-25 23:45:00,2025-01-26 00:44:00,SITE_B,4G,South,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,59.0,False,23,5,True,weekend,night,Radio,medium,,0.1,56.5
ALM01025,2025-01-25 23:51:00,2025-01-26 00:45:00,SITE_B,4G,South,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,54.0,False,23,5,True,weekend,night,Radio,medium,6.0,0.1,56.5
ALM01028,2025-01-04 13:01:00,2025-01-04 13:57:00,SITE_C,5G,North,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,56.0,False,13,5,True,weekend,morning,Transport,medium,,19.58,38.2
ALM01027,2025-01-04 13:05:00,2025-01-04 13:48:00,SITE_C,5G,North,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,43.0,False,13,5,True,weekend,morning,Transport,medium,4.0,19.58,38.2
ALM01029,2025-01-04 13:10:00,2025-01-04 13:23:00,SITE_C,5G,North,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,13.0,False,13,5,True,weekend,morning,Software,short,5.0,19.58,38.2
ALM01026,2025-01-04 13:11:00,2025-01-04 13:19:00,SITE_C,5G,North,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,8.0,False,13,5,True,weekend,morning,Radio,short,1.0,19.58,38.2
ALM01031,2025-01-12 16:00:00,2025-01-12 16:14:00,SITE_C,5G,North,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,14.0,False,16,6,True,weekend,afternoon,Radio,short,11689.0,19.58,38.2
ALM01030,2025-01-12 16:05:00,2025-01-12 16:44:00,SITE_C,5G,North,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,39.0,False,16,6,True,weekend,afternoon,Hardware,medium,5.0,19.58,38.2
ALM01032,2025-01-14 11:08:00,2025-01-14 12:10:00,SITE_C,5G,North,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,62.0,False,11,1,False,weekday,morning,Transport,long,2583.0,19.58,38.2
ALM01033,2025-01-14 11:11:00,2025-01-14 12:10:00,SITE_C,5G,North,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,59.0,False,11,1,False,weekday,morning,Radio,medium,3.0,19.58,38.2
ALM01035,2025-01-14 11:16:00,2025-01-14 12:10:00,SITE_C,5G,North,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,54.0,False,11,1,False,weekday,morning,Transport,medium,5.0,19.58,38.2
ALM01034,2025-01-14 11:18:00,2025-01-14 12:10:00,SITE_C,5G,North,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,52.0,False,11,1,False,weekday,morning,Radio,medium,2.0,19.58,38.2
ALM01037,2025-01-17 12:16:00,2025-01-17 13:18:00,SITE_C,5G,North,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,62.0,False,12,4,False,weekday,morning,Hardware,long,4378.0,19.58,38.2
ALM01036,2025-01-17 12:20:00,2025-01-17 12:57:00,SITE_C,5G,North,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,37.0,False,12,4,False,weekday,morning,Radio,medium,4.0,19.58,38.2
ALM01038,2025-01-17 12:34:00,2025-01-17 12:42:00,SITE_C,5G,North,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,8.0,False,12,4,False,weekday,morning,Transport,short,14.0,19.58,38.2
ALM01039,2025-01-18 05:17:00,2025-01-18 05:53:00,SITE_C,5G,North,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,36.0,False,5,5,True,weekend,night,Hardware,medium,1003.0,19.58,38.2
ALM01041,2025-01-18 05:31:00,2025-01-18 05:51:00,SITE_C,5G,North,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,20.0,False,5,5,True,weekend,night,Radio,medium,14.0,19.58,38.2
ALM01040,2025-01-18 05:32:00,2025-01-18 06:25:00,SITE_C,5G,North,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,53.0,False,5,5,True,weekend,night,Radio,medium,1.0,19.58,38.2
ALM01042,2025-01-20 18:40:00,2025-01-20 19:37:00,SITE_C,5G,North,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,57.0,False,18,0,False,weekday,afternoon,Radio,medium,3668.0,19.58,38.2
ALM01045,2025-01-20 18:43:00,2025-01-20 18:57:00,SITE_C,5G,North,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,14.0,False,18,0,False,weekday,afternoon,Radio,short,3.0,19.58,38.2
ALM01044,2025-01-20 18:44:00,2025-01-20 19:45:00,SITE_C,5G,North,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,61.0,False,18,0,False,weekday,afternoon,Hardware,long,1.0,19.58,38.2
ALM01043,2025-01-20 18:45:00,2025-01-20 19:41:00,SITE_C,5G,North,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,56.0,False,18,0,False,weekday,afternoon,Transport,medium,1.0,19.58,38.2
ALM01046,2025-01-23 07:00:00,2025-01-23 07:17:00,SITE_C,5G,North,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",17.0,False,7,3,False,weekday,morning,Power,medium,3615.0,19.58,38.2
ALM01049,2025-01-23 07:03:00,2025-01-23 08:05:00,SITE_C,5G,North,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,62.0,False,7,3,False,weekday,morning,Transport,long,3.0,19.58,38.2
ALM01047,2025-01-23 07:15:00,2025-01-23 07:24:00,SITE_C,5G,North,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,9.0,False,7,3,False,weekday,morning,Radio,short,12.0,19.58,38.2
ALM01048,2025-01-23 07:18:00,2025-01-23 07:42:00,SITE_C,5G,North,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,24.0,False,7,3,False,weekday,morning,Radio,medium,3.0,19.58,38.2
ALM01051,2025-01-03 05:31:00,2025-01-03 05:52:00,SITE_D,4G,South,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",21.0,False,5,4,False,weekday,night,Power,medium,,27.22,44.9
ALM01052,2025-01-03 05:34:00,2025-01-03 07:04:00,SITE_D,4G,South,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,90.0,False,5,4,False,weekday,night,Transport,long,3.0,27.22,44.9
ALM01050,2025-01-03 05:45:00,2025-01-03 06:49:00,SITE_D,4G,South,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,64.0,False,5,4,False,weekday,night,Radio,long,11.0,27.22,44.9
ALM01054,2025-01-05 15:52:00,2025-01-05 16:36:00,SITE_D,4G,South,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,44.0,False,15,6,True,weekend,afternoon,Radio,medium,3487.0,27.22,44.9
ALM01053,2025-01-05 15:53:00,2025-01-05 16:42:00,SITE_D,4G,South,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,49.0,False,15,6,True,weekend,afternoon,Radio,medium,1.0,27.22,44.9
ALM01056,2025-01-10 12:04:00,2025-01-10 12:50:00,SITE_D,4G,South,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,46.0,False,12,4,False,weekday,morning,Radio,medium,6971.0,27.22,44.9
ALM01057,2025-01-10 12:06:00,2025-01-10 12:30:00,SITE_D,4G,South,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,24.0,False,12,4,False,weekday,morning,Radio,medium,2.0,27.22,44.9
ALM01055,2025-01-10 12:14:00,2025-01-10 13:10:00,SITE_D,4G,South,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,56.0,False,12,4,False,weekday,morning,Radio,medium,8.0,27.22,44.9
ALM01059,2025-01-13 09:20:00,2025-01-13 09:48:00,SITE_D,4G,South,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",28.0,False,9,0,False,weekday,morning,Power,medium,4146.0,27.22,44.9
ALM01058,2025-01-13 09:20:00,2025-01-13 10:40:00,SITE_D,4G,South,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,80.0,False,9,0,False,weekday,morning,Transport,long,0.0,27.22,44.9
ALM01061,2025-01-16 15:41:00,2025-01-16 16:50:00,SITE_D,4G,South,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,69.0,False,15,3,False,weekday,afternoon,Radio,long,4701.0,27.22,44.9
ALM01063,2025-01-16 15:44:00,2025-01-16 16:10:00,SITE_D,4G,South,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,26.0,False,15,3,False,weekday,afternoon,Hardware,medium,3.0,27.22,44.9
ALM01060,2025-01-16 15:45:00,2025-01-16 16:20:00,SITE_D,4G,South,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,35.0,False,15,3,False,weekday,afternoon,Radio,medium,1.0,27.22,44.9
ALM01062,2025-01-16 15:45:00,2025-01-16 16:12:00,SITE_D,4G,South,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,27.0,False,15,3,False,weekday,afternoon,Transport,medium,0.0,27.22,44.9
ALM01065,2025-01-21 06:30:00,2025-01-21 06:55:00,SITE_D,4G,South,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,25.0,False,6,1,False,weekday,morning,Radio,medium,6645.0,27.22,44.9
ALM01066,2025-01-21 06:38:00,2025-01-21 06:46:00,SITE_D,4G,South,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,8.0,False,6,1,False,weekday,morning,Hardware,short,8.0,27.22,44.9
ALM01064,2025-01-21 06:45:00,2025-01-21 07:40:00,SITE_D,4G,South,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,55.0,False,6,1,False,weekday,morning,Transport,medium,7.0,27.22,44.9
ALM01067,2025-01-21 06:49:00,2025-01-21 07:25:00,SITE_D,4G,South,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",36.0,False,6,1,False,weekday,morning,Power,medium,4.0,27.22,44.9
ALM01071,2025-01-27 00:54:00,2025-01-27 01:33:00,SITE_D,4G,South,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,39.0,False,0,0,False,weekday,night,Radio,medium,8285.0,27.22,44.9
ALM01070,2025-01-27 00:54:00,2025-01-27 01:55:00,SITE_D,4G,South,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,61.0,False,0,0,False,weekday,night,Hardware,long,0.0,27.22,44.9
ALM01069,2025-01-27 00:54:00,2025-01-27 01:48:00,SITE_D,4G,South,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,54.0,False,0,0,False,weekday,night,Transport,medium,0.0,27.22,44.9
ALM01068,2025-01-27 01:04:00,2025-01-27 01:55:00,SITE_D,4G,South,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,51.0,False,1,0,False,weekday,night,Radio,medium,10.0,27.22,44.9
ALM01072,2025-01-10 17:07:00,2025-01-10 18:26:00,SITE_E,4G,West,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,79.0,False,17,4,False,weekday,afternoon,Hardware,long,,14.95,42.7
ALM01073,2025-01-10 17:17:00,2025-01-10 17:51:00,SITE_E,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,34.0,False,17,4,False,weekday,afternoon,Radio,medium,10.0,14.95,42.7
ALM01074,2025-01-11 20:34:00,2025-01-11 21:09:00,SITE_E,4G,West,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,35.0,False,20,5,True,weekend,afternoon,Software,medium,1637.0,14.95,42.7
ALM01076,2025-01-11 20:47:00,2025-01-11 22:02:00,SITE_E,4G,West,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",75.0,False,20,5,True,weekend,afternoon,Power,long,13.0,14.95,42.7
ALM01075,2025-01-11 20:49:00,2025-01-11 21:03:00,SITE_E,4G,West,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,14.0,False,20,5,True,weekend,afternoon,Transport,short,2.0,14.95,42.7
ALM01077,2025-01-13 17:05:00,2025-01-13 17:29:00,SITE_E,4G,West,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,24.0,False,17,0,False,weekday,afternoon,Hardware,medium,2656.0,14.95,42.7
ALM01079,2025-01-13 17:10:00,2025-01-13 17:43:00,SITE_E,4G,West,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,33.0,False,17,0,False,weekday,afternoon,Transport,medium,5.0,14.95,42.7
ALM01078,2025-01-13 17:15:00,2025-01-13 17:51:00,SITE_E,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,36.0,False,17,0,False,weekday,afternoon,Radio,medium,5.0,14.95,42.7
ALM01081,2025-01-16 07:35:00,2025-01-16 07:47:00,SITE_E,4G,West,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,12.0,False,7,3,False,weekday,morning,Radio,short,3740.0,14.95,42.7
ALM01080,2025-01-16 07:42:00,2025-01-16 09:07:00,SITE_E,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,85.0,False,7,3,False,weekday,morning,Radio,long,7.0,14.95,42.7
ALM01082,2025-01-02 05:21:00,2025-01-02 05:57:00,SITE_F,4G,South,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,36.0,False,5,3,False,weekday,night,Transport,medium,,81.74,37.7
ALM01083,2025-01-02 05:23:00,2025-01-02 05:35:00,SITE_F,4G,South,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,12.0,False,5,3,False,weekday,night,Software,short,2.0,81.74,37.7
ALM01084,2025-01-15 09:17:00,2025-01-15 10:09:00,SITE_F,4G,South,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,52.0,False,9,2,False,weekday,morning,Radio,medium,18954.0,81.74,37.7
ALM01085,2025-01-15 09:27:00,2025-01-15 09:57:00,SITE_F,4G,South,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,30.0,False,9,2,False,weekday,morning,Radio,medium,10.0,81.74,37.7
ALM01087,2025-01-22 15:42:00,2025-01-22 16:08:00,SITE_F,4G,South,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",26.0,False,15,2,False,weekday,afternoon,Power,medium,10455.0,81.74,37.7
ALM01086,2025-01-22 15:43:00,2025-01-22 16:15:00,SITE_F,4G,South,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,32.0,False,15,2,False,weekday,afternoon,Software,medium,1.0,81.74,37.7
ALM01088,2025-01-22 15:46:00,2025-01-22 17:02:00,SITE_F,4G,South,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,76.0,False,15,2,False,weekday,afternoon,Radio,long,3.0,81.74,37.7
ALM01090,2025-01-03 15:01:00,2025-01-03 15:42:00,SITE_G,4G,West,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,41.0,False,15,4,False,weekday,afternoon,Radio,medium,,27.5,48.3
ALM01091,2025-01-03 15:08:00,2025-01-03 15:47:00,SITE_G,4G,West,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,39.0,False,15,4,False,weekday,afternoon,Hardware,medium,7.0,27.5,48.3
ALM01089,2025-01-03 15:11:00,2025-01-03 16:14:00,SITE_G,4G,West,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,63.0,False,15,4,False,weekday,afternoon,Radio,long,3.0,27.5,48.3
ALM01094,2025-01-08 19:17:00,2025-01-08 19:31:00,SITE_G,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,14.0,False,19,2,False,weekday,afternoon,Radio,short,7446.0,27.5,48.3
ALM01092,2025-01-08 19:21:00,2025-01-08 20:00:00,SITE_G,4G,West,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",39.0,False,19,2,False,weekday,afternoon,Power,medium,4.0,27.5,48.3
ALM01093,2025-01-08 19:24:00,2025-01-08 19:47:00,SITE_G,4G,West,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,23.0,False,19,2,False,weekday,afternoon,Transport,medium,3.0,27.5,48.3
ALM01096,2025-01-13 19:23:00,2025-01-13 20:05:00,SITE_G,4G,West,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",42.0,False,19,0,False,weekday,afternoon,Power,medium,7199.0,27.5,48.3
ALM01095,2025-01-13 19:23:00,2025-01-13 20:41:00,SITE_G,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,78.0,False,19,0,False,weekday,afternoon,Radio,long,0.0,27.5,48.3
ALM01097,2025-01-22 03:17:00,2025-01-22 04:42:00,SITE_G,4G,West,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",85.0,False,3,2,False,weekday,night,Power,long,11994.0,27.5,48.3
ALM01099,2025-01-22 03:24:00,2025-01-22 03:51:00,SITE_G,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,27.0,False,3,2,False,weekday,night,Radio,medium,7.0,27.5,48.3
ALM01098,2025-01-22 03:32:00,2025-01-22 04:45:00,SITE_G,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,73.0,False,3,2,False,weekday,night,Radio,long,8.0,27.5,48.3
ALM01100,2025-01-22 03:35:00,2025-01-22 04:18:00,SITE_G,4G,West,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,43.0,False,3,2,False,weekday,night,Radio,medium,3.0,27.5,48.3
ALM01103,2025-01-23 01:33:00,2025-01-23 01:53:00,SITE_G,4G,West,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,20.0,False,1,3,False,weekday,night,Transport,medium,1318.0,27.5,48.3
ALM01102,2025-01-23 01:35:00,2025-01-23 02:59:00,SITE_G,4G,West,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,84.0,False,1,3,False,weekday,night,Radio,long,2.0,27.5,48.3
ALM01101,2025-01-23 01:41:00,2025-01-23 01:55:00,SITE_G,4G,West,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,14.0,False,1,3,False,weekday,night,Radio,short,6.0,27.5,48.3
ALM01104,2025-01-24 18:35:00,2025-01-24 19:12:00,SITE_G,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,37.0,False,18,4,False,weekday,afternoon,Radio,medium,2454.0,27.5,48.3
ALM01106,2025-01-24 18:35:00,2025-01-24 19:55:00,SITE_G,4G,West,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,80.0,False,18,4,False,weekday,afternoon,Transport,long,0.0,27.5,48.3
ALM01105,2025-01-24 18:42:00,2025-01-24 19:23:00,SITE_G,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,41.0,False,18,4,False,weekday,afternoon,Radio,medium,7.0,27.5,48.3
ALM01108,2025-01-27 16:25:00,2025-01-27 16:57:00,SITE_G,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,32.0,False,16,0,False,weekday,afternoon,Radio,medium,4183.0,27.5,48.3
ALM01107,2025-01-27 16:29:00,2025-01-27 17:00:00,SITE_G,4G,West,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,31.0,False,16,0,False,weekday,afternoon,Radio,medium,4.0,27.5,48.3
ALM01110,2025-01-27 16:34:00,2025-01-27 17:46:00,SITE_G,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,72.0,False,16,0,False,weekday,afternoon,Radio,long,5.0,27.5,48.3
ALM01109,2025-01-27 16:35:00,2025-01-27 17:59:00,SITE_G,4G,West,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,84.0,False,16,0,False,weekday,afternoon,Radio,long,1.0,27.5,48.3
ALM01113,2025-01-03 05:01:00,2025-01-03 06:05:00,SITE_H,4G,East,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,64.0,False,5,4,False,weekday,night,Transport,long,,28.04,94.6
ALM01111,2025-01-03 05:03:00,2025-01-03 05:54:00,SITE_H,4G,East,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",51.0,False,5,4,False,weekday,night,Power,medium,2.0,28.04,94.6
ALM01112,2025-01-03 05:07:00,2025-01-03 05:12:00,SITE_H,4G,East,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,5.0,False,5,4,False,weekday,night,Hardware,short,4.0,28.04,94.6
ALM01116,2025-01-05 01:53:00,2025-01-05 02:55:00,SITE_H,4G,East,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",62.0,False,1,6,True,weekend,night,Power,long,2686.0,28.04,94.6
