network_element_id,metric,start,end,duration_periods,duration_hours,worst_value,mean_value,threshold,breach_direction
SITE_E,availability_pct,2025-01-26 12:30:00,2025-01-26 14:30:00,9,2.25,98.987,99.2512,99.5,below
SITE_C,availability_pct,2025-01-08 16:00:00,2025-01-08 18:00:00,9,2.25,99.075,99.3129,99.5,below
SITE_F,availability_pct,2025-01-10 10:30:00,2025-01-10 12:30:00,9,2.25,99.015,99.2943,99.5,below
SITE_E,availability_pct,2025-01-10 17:00:00,2025-01-10 19:00:00,9,2.25,91.318,91.9744,99.5,below
SITE_E,availability_pct,2025-01-16 07:30:00,2025-01-16 09:30:00,9,2.25,91.724,91.9754,99.5,below
SITE_C,availability_pct,2025-01-14 10:30:00,2025-01-14 12:15:00,8,2.0,91.759,94.6991,99.5,below
SITE_C,availability_pct,2025-01-18 02:15:00,2025-01-18 04:00:00,8,2.0,98.857,99.2658,99.5,below
SITE_C,availability_pct,2025-01-25 03:00:00,2025-01-25 04:45:00,8,2.0,98.919,99.2898,99.5,below
SITE_C,availability_pct,2025-01-15 06:45:00,2025-01-15 08:30:00,8,2.0,99.051,99.3731,99.5,below
SITE_D,availability_pct,2025-01-20 18:30:00,2025-01-20 20:15:00,8,2.0,99.075,99.3395,99.5,below
SITE_C,availability_pct,2025-01-08 12:15:00,2025-01-08 14:00:00,8,2.0,98.663,99.1954,99.5,below
SITE_D,availability_pct,2025-01-01 18:45:00,2025-01-01 20:30:00,8,2.0,99.164,99.359,99.5,below
SITE_E,availability_pct,2025-01-23 19:30:00,2025-01-23 21:15:00,8,2.0,98.821,99.2505,99.5,below
SITE_C,availability_pct,2025-01-03 21:15:00,2025-01-03 23:00:00,8,2.0,99.113,99.2686,99.5,below
SITE_E,availability_pct,2025-01-07 15:30:00,2025-01-07 17:15:00,8,2.0,99.106,99.3385,99.5,below
SITE_F,availability_pct,2025-01-13 03:00:00,2025-01-13 04:45:00,8,2.0,98.963,99.2832,99.5,below
SITE_B,availability_pct,2025-01-29 01:30:00,2025-01-29 03:15:00,8,2.0,98.999,99.2411,99.5,below
SITE_C,availability_pct,2025-01-10 08:15:00,2025-01-10 10:00:00,8,2.0,98.973,99.2,99.5,below
SITE_B,availability_pct,2025-01-04 21:45:00,2025-01-04 23:30:00,8,2.0,99.078,99.2601,99.5,below
SITE_H,availability_pct,2025-01-10 02:00:00,2025-01-10 03:45:00,8,2.0,99.179,99.3575,99.5,below
SITE_F,availability_pct,2025-01-28 00:30:00,2025-01-28 02:15:00,8,2.0,98.943,99.2877,99.5,below
SITE_L,availability_pct,2025-01-06 22:45:00,2025-01-07 00:30:00,8,2.0,99.015,99.2945,99.5,below
SITE_J,availability_pct,2025-01-16 22:30:00,2025-01-17 00:15:00,8,2.0,98.904,99.2006,99.5,below
SITE_J,availability_pct,2025-01-27 13:30:00,2025-01-27 15:15:00,8,2.0,98.91,99.2639,99.5,below
SITE_K,availability_pct,2025-01-05 09:15:00,2025-01-05 11:00:00,8,2.0,99.043,99.2538,99.5,below
SITE_J,availability_pct,2025-01-03 14:30:00,2025-01-03 16:15:00,8,2.0,99.156,99.3268,99.5,below
SITE_A,availability_pct,2025-01-25 04:15:00,2025-01-25 06:00:00,8,2.0,91.724,94.6284,99.5,below
SITE_I,availability_pct,2025-01-29 01:30:00,2025-01-29 03:15:00,8,2.0,98.335,99.2729,99.5,below
SITE_C,availability_pct,2025-01-08 06:30:00,2025-01-08 08:15:00,8,2.0,98.972,99.2838,99.5,below
SITE_D,availability_pct,2025-01-25 19:45:00,2025-01-25 21:30:00,8,2.0,99.165,99.3198,99.5,below
SITE_J,availability_pct,2025-01-18 22:15:00,2025-01-18 23:45:00,7,1.75,99.019,99.1967,99.5,below
SITE_J,availability_pct,2025-01-17 07:00:00,2025-01-17 08:30:00,7,1.75,98.67,99.114,99.5,below
SITE_J,availability_pct,2025-01-27 18:00:00,2025-01-27 19:30:00,7,1.75,99.173,99.3374,99.5,below
SITE_J,availability_pct,2025-01-18 11:30:00,2025-01-18 13:00:00,7,1.75,99.112,99.2133,99.5,below
SITE_J,availability_pct,2025-01-09 20:15:00,2025-01-09 21:45:00,7,1.75,98.858,99.3191,99.5,below
SITE_A,availability_pct,2025-01-21 04:30:00,2025-01-21 06:00:00,7,1.75,99.131,99.2733,99.5,below
SITE_A,availability_pct,2025-01-16 21:45:00,2025-01-16 23:15:00,7,1.75,98.871,99.2026,99.5,below
SITE_K,availability_pct,2025-01-06 19:15:00,2025-01-06 20:45:00,7,1.75,98.972,99.2266,99.5,below
SITE_K,availability_pct,2025-01-19 16:15:00,2025-01-19 17:45:00,7,1.75,98.914,99.2761,99.5,below
SITE_K,availability_pct,2025-01-15 12:30:00,2025-01-15 14:00:00,7,1.75,98.794,99.315,99.5,below
SITE_K,availability_pct,2025-01-27 19:45:00,2025-01-27 21:15:00,7,1.75,99.078,99.2169,99.5,below
SITE_K,availability_pct,2025-01-29 22:15:00,2025-01-29 23:45:00,7,1.75,98.968,99.1977,99.5,below
SITE_L,availability_pct,2025-01-09 06:45:00,2025-01-09 08:15:00,7,1.75,99.186,99.3104,99.5,below
SITE_K,availability_pct,2025-01-27 00:30:00,2025-01-27 02:00:00,7,1.75,98.995,99.2906,99.5,below
SITE_K,availability_pct,2025-01-12 22:15:00,2025-01-12 23:45:00,7,1.75,99.167,99.3691,99.5,below
SITE_K,availability_pct,2025-01-13 09:30:00,2025-01-13 11:00:00,7,1.75,99.029,99.2374,99.5,below
SITE_K,availability_pct,2025-01-07 04:30:00,2025-01-07 06:00:00,7,1.75,99.279,99.3851,99.5,below
SITE_K,availability_pct,2025-01-09 05:30:00,2025-01-09 07:00:00,7,1.75,98.929,99.2704,99.5,below
SITE_K,availability_pct,2025-01-09 23:30:00,2025-01-10 01:00:00,7,1.75,98.979,99.3336,99.5,below
SITE_K,availability_pct,2025-01-04 01:30:00,2025-01-04 03:00:00,7,1.75,99.199,99.361,99.5,below
SITE_L,availability_pct,2025-01-29 18:30:00,2025-01-29 20:00:00,7,1.75,98.915,99.1856,99.5,below
SITE_L,availability_pct,2025-01-16 19:15:00,2025-01-16 20:45:00,7,1.75,99.115,99.2916,99.5,below
SITE_A,availability_pct,2025-01-10 12:15:00,2025-01-10 13:45:00,7,1.75,99.022,99.2546,99.5,below
SITE_A,availability_pct,2025-01-25 22:00:00,2025-01-25 23:30:00,7,1.75,99.183,99.3217,99.5,below
SITE_A,availability_pct,2025-01-29 12:30:00,2025-01-29 14:00:00,7,1.75,99.225,99.3389,99.5,below
SITE_A,availability_pct,2025-01-30 19:15:00,2025-01-30 20:45:00,7,1.75,98.915,99.2941,99.5,below
SITE_I,availability_pct,2025-01-26 13:45:00,2025-01-26 15:15:00,7,1.75,99.243,99.4117,99.5,below
SITE_J,availability_pct,2025-01-01 05:45:00,2025-01-01 07:15:00,7,1.75,99.086,99.2421,99.5,below
SITE_I,availability_pct,2025-01-27 21:00:00,2025-01-27 22:30:00,7,1.75,99.153,99.3269,99.5,below
SITE_J,availability_pct,2025-01-05 06:00:00,2025-01-05 07:30:00,7,1.75,98.905,99.2831,99.5,below
SITE_J,availability_pct,2025-01-03 10:45:00,2025-01-03 12:15:00,7,1.75,98.983,99.2891,99.5,below
SITE_J,availability_pct,2025-01-07 01:15:00,2025-01-07 02:45:00,7,1.75,98.931,99.1556,99.5,below
SITE_H,availability_pct,2025-01-05 01:45:00,2025-01-05 03:15:00,7,1.75,91.399,94.0764,99.5,below
SITE_H,availability_pct,2025-01-06 06:15:00,2025-01-06 07:45:00,7,1.75,99.069,99.2754,99.5,below
SITE_H,availability_pct,2025-01-06 00:30:00,2025-01-06 02:00:00,7,1.75,99.002,99.2017,99.5,below
SITE_H,availability_pct,2025-01-06 08:45:00,2025-01-06 10:15:00,7,1.75,98.873,99.2143,99.5,below
SITE_G,availability_pct,2025-01-29 20:00:00,2025-01-29 21:30:00,7,1.75,99.081,99.2654,99.5,below
SITE_G,availability_pct,2025-01-26 22:45:00,2025-01-27 00:15:00,7,1.75,99.11,99.307,99.5,below
SITE_I,availability_pct,2025-01-22 05:30:00,2025-01-22 07:00:00,7,1.75,99.09,99.2597,99.5,below
SITE_H,availability_pct,2025-01-27 10:15:00,2025-01-27 11:45:00,7,1.75,99.006,99.324,99.5,below
SITE_H,availability_pct,2025-01-28 00:15:00,2025-01-28 01:45:00,7,1.75,98.856,99.2494,99.5,below
SITE_H,availability_pct,2025-01-28 02:30:00,2025-01-28 04:00:00,7,1.75,99.167,99.3,99.5,below
SITE_I,availability_pct,2025-01-02 12:45:00,2025-01-02 14:15:00,7,1.75,98.872,99.0679,99.5,below
SITE_I,availability_pct,2025-01-06 17:45:00,2025-01-06 19:15:00,7,1.75,98.973,99.196,99.5,below
SITE_I,availability_pct,2025-01-05 10:30:00,2025-01-05 12:00:00,7,1.75,91.598,94.0009,99.5,below
SITE_I,availability_pct,2025-01-10 22:15:00,2025-01-10 23:45:00,7,1.75,98.954,99.2981,99.5,below
SITE_I,availability_pct,2025-01-08 18:15:00,2025-01-08 19:45:00,7,1.75,98.732,99.2027,99.5,below
SITE_I,availability_pct,2025-01-18 20:15:00,2025-01-18 21:45:00,7,1.75,98.903,99.2823,99.5,below
SITE_H,availability_pct,2025-01-18 18:45:00,2025-01-18 20:15:00,7,1.75,98.997,99.2999,99.5,below
SITE_H,availability_pct,2025-01-22 18:15:00,2025-01-22 19:45:00,7,1.75,99.264,99.3874,99.5,below
SITE_H,availability_pct,2025-01-18 12:45:00,2025-01-18 14:15:00,7,1.75,99.004,99.2657,99.5,below
SITE_H,availability_pct,2025-01-16 17:45:00,2025-01-16 19:15:00,7,1.75,98.926,99.2326,99.5,below
SITE_B,availability_pct,2025-01-07 09:30:00,2025-01-07 11:00:00,7,1.75,99.069,99.3003,99.5,below
SITE_H,availability_pct,2025-01-10 17:00:00,2025-01-10 18:30:00,7,1.75,98.683,99.204,99.5,below
SITE_H,availability_pct,2025-01-10 10:30:00,2025-01-10 12:00:00,7,1.75,98.871,99.1866,99.5,below
SITE_G,availability_pct,2025-01-04 04:45:00,2025-01-04 06:15:00,7,1.75,99.071,99.2127,99.5,below
SITE_G,availability_pct,2025-01-05 07:30:00,2025-01-05 09:00:00,7,1.75,98.931,99.1041,99.5,below
SITE_G,availability_pct,2025-01-07 07:30:00,2025-01-07 09:00:00,7,1.75,98.895,99.1919,99.5,below
SITE_G,availability_pct,2025-01-10 11:30:00,2025-01-10 13:00:00,7,1.75,99.038,99.219,99.5,below
SITE_G,availability_pct,2025-01-11 05:15:00,2025-01-11 06:45:00,7,1.75,99.048,99.2803,99.5,below
SITE_G,availability_pct,2025-01-15 04:30:00,2025-01-15 06:00:00,7,1.75,98.78,99.1099,99.5,below
SITE_G,availability_pct,2025-01-30 17:45:00,2025-01-30 19:15:00,7,1.75,99.197,99.34,99.5,below
SITE_H,availability_pct,2025-01-08 19:45:00,2025-01-08 21:15:00,7,1.75,99.084,99.2569,99.5,below
SITE_H,availability_pct,2025-01-01 07:00:00,2025-01-01 08:30:00,7,1.75,99.045,99.2717,99.5,below
SITE_E,availability_pct,2025-01-25 21:30:00,2025-01-25 23:00:00,7,1.75,99.028,99.306,99.5,below
SITE_F,availability_pct,2025-01-21 23:30:00,2025-01-22 01:00:00,7,1.75,98.823,99.2776,99.5,below
SITE_F,availability_pct,2025-01-25 19:15:00,2025-01-25 20:45:00,7,1.75,99.037,99.2433,99.5,below
SITE_F,availability_pct,2025-01-15 02:45:00,2025-01-15 04:15:00,7,1.75,98.82,99.1266,99.5,below
SITE_E,availability_pct,2025-01-26 03:30:00,2025-01-26 05:00:00,7,1.75,98.992,99.2474,99.5,below
SITE_E,availability_pct,2025-01-27 00:00:00,2025-01-27 01:30:00,7,1.75,98.854,99.2141,99.5,below
SITE_F,availability_pct,2025-01-19 20:00:00,2025-01-19 21:30:00,7,1.75,99.023,99.223,99.5,below
SITE_D,availability_pct,2025-01-30 07:45:00,2025-01-30 09:15:00,7,1.75,98.819,99.1613,99.5,below
SITE_E,availability_pct,2025-01-01 08:30:00,2025-01-01 10:00:00,7,1.75,99.021,99.1994,99.5,below
SITE_C,availability_pct,2025-01-01 14:15:00,2025-01-01 15:45:00,7,1.75,99.227,99.3464,99.5,below
SITE_C,availability_pct,2025-01-03 01:45:00,2025-01-03 03:15:00,7,1.75,98.813,99.2397,99.5,below
SITE_E,availability_pct,2025-01-20 16:45:00,2025-01-20 18:15:00,7,1.75,98.911,99.2687,99.5,below
SITE_E,availability_pct,2025-01-24 02:30:00,2025-01-24 04:00:00,7,1.75,99.21,99.3393,99.5,below
SITE_E,availability_pct,2025-01-13 16:30:00,2025-01-13 18:00:00,7,1.75,91.751,94.1944,99.5,below
SITE_E,availability_pct,2025-01-13 14:30:00,2025-01-13 16:00:00,7,1.75,98.74,99.2287,99.5,below
SITE_D,availability_pct,2025-01-04 00:45:00,2025-01-04 02:15:00,7,1.75,99.059,99.2701,99.5,below
SITE_D,availability_pct,2025-01-18 15:45:00,2025-01-18 17:15:00,7,1.75,99.032,99.2804,99.5,below
SITE_D,availability_pct,2025-01-18 13:15:00,2025-01-18 14:45:00,7,1.75,98.825,99.21,99.5,below
SITE_D,availability_pct,2025-01-13 12:00:00,2025-01-13 13:30:00,7,1.75,99.149,99.275,99.5,below
SITE_C,availability_pct,2025-01-24 04:00:00,2025-01-24 05:30:00,7,1.75,98.953,99.2837,99.5,below
SITE_C,availability_pct,2025-01-15 09:00:00,2025-01-15 10:30:00,7,1.75,99.038,99.2414,99.5,below
SITE_L,availability_pct,2025-01-27 17:15:00,2025-01-27 18:45:00,7,1.75,99.038,99.2399,99.5,below
SITE_A,availability_pct,2025-01-01 11:15:00,2025-01-01 12:45:00,7,1.75,98.915,99.2797,99.5,below
SITE_B,availability_pct,2025-01-23 14:15:00,2025-01-23 15:30:00,6,1.5,99.306,99.382,99.5,below
SITE_G,availability_pct,2025-01-12 14:00:00,2025-01-12 15:15:00,6,1.5,99.222,99.3278,99.5,below
SITE_A,availability_pct,2025-01-02 04:45:00,2025-01-02 06:00:00,6,1.5,98.627,99.19,99.5,below
SITE_G,availability_pct,2025-01-22 10:00:00,2025-01-22 11:15:00,6,1.5,99.149,99.2493,99.5,below
SITE_L,availability_pct,2025-01-08 01:15:00,2025-01-08 02:30:00,6,1.5,91.82,93.1707,99.5,below
SITE_L,availability_pct,2025-01-13 12:45:00,2025-01-13 14:00:00,6,1.5,98.812,99.2363,99.5,below
SITE_G,availability_pct,2025-01-08 12:30:00,2025-01-08 13:45:00,6,1.5,98.716,99.255,99.5,below
SITE_L,availability_pct,2025-01-05 06:00:00,2025-01-05 07:15:00,6,1.5,99.042,99.3422,99.5,below
SITE_L,availability_pct,2025-01-04 20:00:00,2025-01-04 21:15:00,6,1.5,99.078,99.2893,99.5,below
SITE_L,availability_pct,2025-01-20 21:45:00,2025-01-20 23:00:00,6,1.5,99.041,99.1822,99.5,below
SITE_L,availability_pct,2025-01-16 15:30:00,2025-01-16 16:45:00,6,1.5,99.125,99.2818,99.5,below
SITE_L,availability_pct,2025-01-21 17:15:00,2025-01-21 18:30:00,6,1.5,91.718,93.1762,99.5,below
SITE_L,availability_pct,2025-01-22 22:30:00,2025-01-22 23:45:00,6,1.5,99.037,99.2452,99.5,below
SITE_G,availability_pct,2025-01-27 21:45:00,2025-01-27 23:00:00,6,1.5,99.154,99.3125,99.5,below
SITE_B,availability_pct,2025-01-22 04:30:00,2025-01-22 05:45:00,6,1.5,99.008,99.3098,99.5,below
SITE_B,availability_pct,2025-01-22 00:30:00,2025-01-22 01:45:00,6,1.5,99.126,99.2455,99.5,below
SITE_B,availability_pct,2025-01-21 09:30:00,2025-01-21 10:45:00,6,1.5,99.078,99.2963,99.5,below
SITE_B,availability_pct,2025-01-20 02:15:00,2025-01-20 03:30:00,6,1.5,99.234,99.3903,99.5,below
SITE_G,availability_pct,2025-01-05 09:45:00,2025-01-05 11:00:00,6,1.5,98.794,99.1783,99.5,below
SITE_G,availability_pct,2025-01-04 11:00:00,2025-01-04 12:15:00,6,1.5,99.143,99.3157,99.5,below
SITE_B,availability_pct,2025-01-16 07:15:00,2025-01-16 08:30:00,6,1.5,99.034,99.238,99.5,below
SITE_C,availability_pct,2025-01-29 07:15:00,2025-01-29 08:30:00,6,1.5,98.911,99.2713,99.5,below
SITE_K,availability_pct,2025-01-30 10:15:00,2025-01-30 11:30:00,6,1.5,98.993,99.3117,99.5,below
SITE_C,availability_pct,2025-01-14 04:15:00,2025-01-14 05:30:00,6,1.5,99.002,99.2788,99.5,below
SITE_C,availability_pct,2025-01-24 23:45:00,2025-01-25 01:00:00,6,1.5,98.953,99.2338,99.5,below
SITE_C,availability_pct,2025-01-23 22:45:00,2025-01-24 00:00:00,6,1.5,98.935,99.293,99.5,below
SITE_H,availability_pct,2025-01-05 08:00:00,2025-01-05 09:15:00,6,1.5,98.912,99.227,99.5,below
SITE_H,availability_pct,2025-01-04 16:45:00,2025-01-04 18:00:00,6,1.5,99.127,99.2493,99.5,below
SITE_H,availability_pct,2025-01-02 17:15:00,2025-01-02 18:30:00,6,1.5,98.958,99.2892,99.5,below
SITE_F,availability_pct,2025-01-27 12:45:00,2025-01-27 14:00:00,6,1.5,99.019,99.337,99.5,below
SITE_F,availability_pct,2025-01-26 20:30:00,2025-01-26 21:45:00,6,1.5,98.942,99.1977,99.5,below
SITE_F,availability_pct,2025-01-26 05:30:00,2025-01-26 06:45:00,6,1.5,99.181,99.3025,99.5,below
